vocabulary,key_id,length,n,exceed,fpr,fpr_lo,fpr_hi,p_k,p_lo,p_hi,mean_z,sd_z
Qwen2.5,kgw-01,512,511,7,0.0136986301369863,0.005524824499118854,0.02801977423549114,0.24558170399715373,0.24389591548293588,0.24727338904303614,-0.22759228186503014,1.2108206125186132
Qwen2.5,kgw-02,128,4857,125,0.025736051060325303,0.021466815862077854,0.030587446163363695,0.25757205257727817,0.2564631823735091,0.25868327549954334,0.19361074159435004,1.0816598915410844
Qwen2.5,kgw-02,256,1875,83,0.04426666666666667,0.03540973596661941,0.05458198561366959,0.25853301453644506,0.25727058995640323,0.2597984697320737,0.309168649216036,1.1353383717138903
Qwen2.5,kgw-02,512,511,28,0.0547945205479452,0.03671569473110272,0.0782223570587239,0.25796212717816697,0.25624844500304206,0.2596814188073908,0.40738243800582336,1.2261670158572893
Qwen2.5,kgw-03,128,4857,144,0.02964793082149475,0.02505938257582188,0.03481272706869247,0.25610487317942465,0.2549980813968926,0.2572140319235867,0.15734378381176173,1.1181105815158467
Qwen2.5,kgw-03,256,1875,66,0.0352,0.027326183121866597,0.044567296507837105,0.2542556785695722,0.2530001640456361,0.25551427741248367,0.15610087907742684,1.1793971682018785
Qwen2.5,kgw-03,512,511,23,0.04500978473581213,0.02874300975716143,0.06677362552578593,0.25286924402265815,0.25116681428818144,0.2545774013016404,0.14756369696094648,1.2630249894428454
Qwen2.5,kgw-04,128,4857,556,0.11447395511632695,0.10565068034161958,0.12376353025614396,0.2869022416357375,0.28575513455236506,0.2880514167248505,0.9448663092546415,1.1383740499193609
Qwen2.5,kgw-04,256,1875,350,0.18666666666666668,0.16926415269530234,0.20505500831539633,0.28548347973733906,0.284181035699389,0.2867886160461322,1.2865017422451988,1.2030786008082122
Qwen2.5,kgw-04,512,511,160,0.3131115459882583,0.2731049372946956,0.3552964477319441,0.2850615423360903,0.2832929559583071,0.28683510987649735,1.7951448551334532,1.2859097758513582
Qwen2.5,kgw-05,128,4857,1273,0.2620959439983529,0.24977109583260826,0.27470736119243055,0.3102682459501829,0.3090949303751138,0.3114434027361638,1.5452627211866694,1.2393911687804997
Qwen2.5,kgw-05,256,1875,830,0.44266666666666665,0.4200221947724548,0.46549077148386814,0.3090683853977164,0.3077356084821805,0.31040355852404566,2.144911473747629,1.3574753963125208
Qwen2.5,kgw-05,512,511,346,0.6771037181996086,0.6346462164874828,0.7174974853640326,0.30586081318233244,0.30405543488468406,0.3076706904867946,2.8627043526755185,1.4544574492097444
Qwen2.5,kgw-06,128,4857,397,0.08173769816759316,0.07418314094903432,0.08979936558061326,0.2783721678078062,0.27723554724916416,0.2795109391713397,0.7268227642710885,1.144898764166844
Qwen2.5,kgw-06,256,1875,282,0.1504,0.13450975364948417,0.16739208914462217,0.2786094218341217,0.27731662452014516,0.27990499771392185,1.0368653334158582,1.2070192296601483
Qwen2.5,kgw-06,512,511,114,0.22309197651663404,0.1877070978812842,0.2617155016225689,0.27644281699599843,0.2746908099772854,0.2782000049877001,1.3515039165672484,1.2988102020502668
Qwen2.5,kgw-07,128,4857,104,0.021412394482190653,0.01752816207781248,0.025885686292044442,0.25384883362587596,0.2527452698317681,0.25495478628307927,0.09836678932911948,1.0612666406221614
Qwen2.5,kgw-07,256,1875,54,0.0288,0.021707884179772426,0.037412160690254485,0.2538788398565414,0.25262394173793484,0.25513682702553037,0.13988720045195333,1.1148716245461177
Qwen2.5,kgw-07,512,511,18,0.03522504892367906,0.021007698401327664,0.05510079455167518,0.25354882811719226,0.2518448791224775,0.2552584888983905,0.17612186240564873,1.1781364639099023
Qwen2.5,kgw-08,128,4857,18,0.0037059913526868438,0.0021978390840183813,0.005850763648797553,0.2279973336191765,0.22693364553114528,0.2290636615546386,-0.5635973811750947,1.0369747171702686
Qwen2.5,kgw-08,256,1875,13,0.006933333333333333,0.003696720718015643,0.01182702870066422,0.22835559713775838,0.227145440332234,0.2295691634776113,-0.7855913665466828,1.1129840792663284
Qwen2.5,kgw-08,512,511,4,0.007827788649706457,0.002136808114769479,0.01992012897620763,0.2290198398580069,0.2273743296823839,0.23067163065149887,-1.0736690830970081,1.2518353608043762
Qwen2.5,kgw-09,128,4857,25,0.005147210212065061,0.003333690094010682,0.007588981886976277,0.22884146423164015,0.2277763869262537,0.2299091731884096,-0.5430829259907537,1.068306575636521
Qwen2.5,kgw-09,256,1875,12,0.0064,0.0033112165271257724,0.011152798660445041,0.22935400315331705,0.2281419813757216,0.2305694219276181,-0.7505106026737883,1.125823500645921
Qwen2.5,kgw-09,512,511,3,0.005870841487279843,0.001212348899572808,0.01706050861748655,0.2304189835820478,0.22876993432358397,0.23207428100843072,-1.0052788636478667,1.244496806442576
