key_id,hashing_key,length,n_texts,exceed,fpr,green_tokens,eligible_positions,p_k,mean_z,sd_z
kgw-031,51907903,512,179,18,0.1005586592178771,22561,86859,0.2597428015519405,0.5012987598414295,1.4526969974795045
kgw-032,489346021,128,1500,32,0.021333333333333333,46390,184186,0.2518649625921623,0.0497728746807148,1.0642238273371425
kgw-032,489346021,256,588,21,0.03571428571428571,36743,144142,0.25490835426176967,0.18020422497366653,1.1779184489966377
kgw-032,489346021,512,179,13,0.07262569832402235,22527,86859,0.2593513625531033,0.47962237211229114,1.287581521876328
kgw-033,1394372141,128,1500,15,0.01,42485,184186,0.23066356834938595,-0.49497734284189004,1.0748423952147692
kgw-033,1394372141,256,588,2,0.003401360544217687,32704,144142,0.22688737494970238,-0.834144650763703,1.1115156877520498
kgw-033,1394372141,512,179,2,0.0111731843575419,19625,86859,0.2259408927111756,-1.2142347323250176,1.2859791140939711
kgw-034,799230541,128,1500,30,0.02,46408,184186,0.25196268988956816,0.05060158922332772,1.0509617352522755
kgw-034,799230541,256,588,11,0.01870748299319728,35997,144142,0.24973290227692138,-0.0061077696843120964,1.1030270817428576
kgw-034,799230541,512,179,4,0.0223463687150838,21649,86859,0.24924302605371926,-0.03672112050143609,1.2151841532378707
kgw-035,1795675907,128,1500,78,0.052,50427,184186,0.2737830236825817,0.6092012703039932,1.0528908811074302
kgw-035,1795675907,256,588,66,0.11224489795918367,39421,144142,0.2734872556229274,0.8503092482924375,1.1382650829697505
kgw-035,1795675907,512,179,24,0.1340782122905028,23520,86859,0.27078368390149554,1.0636974865664603,1.1983224486605466
kgw-036,911325199,128,1500,107,0.07133333333333333,50388,184186,0.273571281204869,0.6047342279781907,1.1616495233371014
kgw-036,911325199,256,588,66,0.11224489795918367,39320,144142,0.2727865577000458,0.8262055964953346,1.2080206583660889
kgw-036,911325199,512,179,31,0.17318435754189945,23823,86859,0.27427209615583875,1.2431229302580653,1.325374302469847
kgw-037,847468529,128,1500,9,0.006,43134,184186,0.23418718035029806,-0.4058687797022468,1.0841630173089614
kgw-037,847468529,256,588,4,0.006802721088435374,33795,144142,0.23445630003746307,-0.5626729555118726,1.1451600067047347
kgw-037,847468529,512,179,0,0.0,20398,86859,0.23484037347885653,-0.7753914549716409,1.2459591207508405
kgw-038,18990017,128,1500,75,0.05,48547,184186,0.2635759503979673,0.34710409523391617,1.148775872030523
kgw-038,18990017,256,588,29,0.04931972789115646,37594,144142,0.2608122545822869,0.3908574398077704,1.1836547529690309
kgw-038,18990017,512,179,17,0.09497206703910614,22451,86859,0.25847638126158484,0.4260260992128979,1.3556800948273773
kgw-039,1643632103,128,1500,80,0.05333333333333334,49113,184186,0.26664893097195225,0.42912782331960775,1.178618528381466
kgw-039,1643632103,256,588,66,0.11224489795918367,38538,144142,0.267361352000111,0.6302540099690359,1.2840070817755802
kgw-039,1643632103,512,179,37,0.20670391061452514,23388,86859,0.26926397955306874,0.9875687764969543,1.515950884983179
kgw-040,436036633,128,1500,9,0.006,44123,184186,0.2395567524133213,-0.26893977470993147,1.0728478887740933
kgw-040,436036633,256,588,5,0.008503401360544218,34131,144142,0.23678733471160385,-0.4805392472424385,1.128764592081047
kgw-040,436036633,512,179,0,0.0,20474,86859,0.23571535477037497,-0.7306110903062759,1.284905073837588
kgw-041,439191917,128,1500,48,0.032,47619,184186,0.25853756528726396,0.21892263162378417,1.0844298342920953
kgw-041,439191917,256,588,22,0.03741496598639456,37332,144142,0.25899460254471285,0.32498698837868173,1.1118375836222423
